Type,Brand,Product,Kosher,Misc,Src
Beer,Minhas Craft Brewery,Shorebreak IPA,cRc,,1
Beer,Minhas Craft Brewery,Shorebreak Pale Ale,cRc,,1
Beer,Minhas Craft Brewery,Shot Eye,cRc,,1
Beer,Minhas Craft Brewery,Shot Eye Light,cRc,,1
Beer,Minhas Craft Brewery,Silver Lager,cRc,,1
Beer,Minhas Craft Brewery,Simpler Times Lager,cRc,,1
Beer,Minhas Craft Brewery,Simpler Times Pilsner,cRc,,1
Beer,Minhas Craft Brewery,Strong Ale,cRc,,1
Beer,Minhas Craft Brewery,Swiss Amber,cRc,,1
Beer,Minhas Craft Brewery,Tailgate Blonde,cRc,,1
Beer,Minhas Craft Brewery,Tailgate IPA,cRc,,1
Beer,Minhas Craft Brewery,Thumper American IPA,cRc,,1
Beer,Minhas Craft Brewery,Thunderbolt,cRc,,1
Beer,Minhas Craft Brewery,Tonka Big Island Shandy,cRc,,1
Beer,Minhas Craft Brewery,Tonka Legacy Lager,cRc,,1
Beer,Minhas Craft Brewery,Triple 777,cRc,,1
Beer,Minhas Craft Brewery,Triple IPA,cRc,,1
Beer,Minhas Craft Brewery,Underworld American IPA,cRc,,1
Beer,Minhas Craft Brewery,Underworld Chocolate Stout,cRc,,1
Beer,Minhas Craft Brewery,Underworld Imperial IPA,cRc,,1
Beer,Minhas Craft Brewery,Underworld Strong Ale,cRc,,1
Beer,Minhas Craft Brewery,Uptown Girl,cRc,,1
Beer,Minhas Craft Brewery,Water Street Oktoberfest,cRc,,1
Beer,Minhas Craft Brewery,Weissgerber,cRc,,1
Beer,Minhas Craft Brewery,WI Club,cRc,,1
Beer,Mode,Montejo,OK*,,1
Beer,Modelo,Especial,OK*,,1
Beer,Modelo,Light,OK*,,1
Beer,Modelo,Negra Modelo,OK*,,1
Beer,New Belgium,1554 Black Beer,Scroll K,,1
Beer,New Belgium,2 Below,Scroll K,,1
Beer,New Belgium,Abbey,Scroll K,,1
Beer,New Belgium,Accumulation,Scroll K,,1
Beer,New Belgium,Blue Paddle,Scroll K,,1
Beer,New Belgium,DIG Pale Ale,Scroll K,,1
Beer,New Belgium,Fat Tire,Scroll K,,1
Beer,New Belgium,FOCOllaboration,Scroll K,,1
Beer,New Belgium,Frambozen,Scroll K,,1
Beer,New Belgium,French Aramis IPA,Scroll K,,1
Beer,New Belgium,Fresh Hop India IPA,Scroll K,,1
Beer,New Belgium,Gratzer Ale,Scroll K,,1
Beer,New Belgium,Hop Stout,Scroll K,,1
Beer,New Belgium,Hop Tart,Scroll K,,1
Beer,New Belgium,Hop the Pond,Scroll K,,1
Beer,New Belgium,Hoptober,Scroll K,,1
Beer,New Belgium,Long Table Farmhouse Ale,Scroll K,,1
Beer,New Belgium,Mighty Arrow,Scroll K,,1
Beer,New Belgium,Oatmeal IPA,Scroll K,,1
Beer,New Belgium,Porch Swing,Scroll K,,1
Beer,New Belgium,Portage,Scroll K,,1
Beer,New Belgium,Pumpkick,Scroll K,,1
Beer,New Belgium,Rampant IPA,Scroll K,,1
Beer,New Belgium,Ranger,Scroll K,,1
Beer,New Belgium,Rewind IPA,Scroll K,,1
Beer,New Belgium,Rolle Bolle,Scroll K,,1
Beer,New Belgium,RyePA,Scroll K,,1
Beer,New Belgium,Saison Harvest Ale,Scroll K,,1
Beer,New Belgium,Salted Belgian Chocolate Stout with Perennial Artisan Ale,Scroll K,,1
Beer,New Belgium,Shift Pale Lager,Scroll K,,1
Beer,New Belgium,Skinny Dip,Scroll K,,1
Beer,New Belgium,Slow Ride,Scroll K,,1
Beer,New Belgium,Snapshot Wheat,Scroll K,,1
Beer,New Belgium,Snow Day,Scroll K,,1
Beer,New Belgium,Somersault,Scroll K,,1
Beer,New Belgium,Spring Blonde,Scroll K,,1
Beer,New Belgium,Summer Helles,Scroll K,,1
Beer,New Belgium,Sunshine,Scroll K,,1
Beer,New Belgium,Super IPA,Scroll K,,1
Beer,New Belgium,Tour de Fall,Scroll K,,1
Beer,New Belgium,Trippel,Scroll K,,1
Beer,O'Doul's,Amber,,,1
Beer,O'Doul's,Premium,,,1
Beer,Odell Brewing Co.,Assorted Varieties,0,,1
Beer,Olde English 800,3.2% Malt Liquor,OU*,,1
Beer,Olde English 800,7.5% Malt Liquor,OU*,,1
Beer,Olde English 800,Canada Malt Liquor,OU*,,1
Beer,Olde English 800,HG Malt Liquor,OU*,,1
Beer,Olde English 800,Malt Liquor,OU*,,1
Beer,Ommegang,Art Of Darkness,,,1
Beer,Ommegang,BPA,,,1
Beer,Ommegang,Hop House,,,1
Beer,Ommegang,Rouge,0,,1
Beer,Oskar Blues,Dale's Pale Ale,,,1
Beer,Oskar Blues,Deviant Dale's,,,1
Beer,Oskar Blues,G'Knight Imperial Red,,,1
Beer,Oskar Blues,Gubna Imperial IPA,,,1
Beer,Oskar Blues,Mama's Little Yella Pills,,,1
Beer,Oskar Blues,Ten FIDY Imperial Stout,,,1
Beer,Oxbow Brewery,Assorted Varieties,0,,1
Beer,Oyster House Brewing Company,Assorted Varieties,0,,1
Beer,Pacifico,Clara,OK*,,1
Beer,Pete's Brewing,Pete's Wicked Ale,KCOR,,1
Beer,Pete's Brewing,Pete's Wicked Ralley Cap Ale,KCOR,,1
Beer,Pete's Brewing,Pete's Wicked Strawberry Blonde,KCOR,,1
Beer,Pete's Brewing,Pete's Wicked Wanderlust,KCOR,,1
Beer,Port City Brewing Company,Assorted Varieties,0,,1
Beer,Porterhouse Brewing Company,Assorted Varieties,0,,1
Beer,Redbridge,Gluten-Free Beer,,,1
Beer,Redhook Ale Brewery,Assorted Varieties,0,,1
Beer,Rogue Brewery,Assorted Varieties,0,,1
Beer,Sam Adams,Light,Star-K*,,1
Beer,Samuel Adams,Alpine Spring,Star-K*,,1
Beer,Samuel Adams,Belgian session,Star-K*,,1
Beer,Samuel Adams,Black and Brew,Star-K*,,1
Beer,Samuel Adams,Black Lager,Star-K*,,1
Beer,Samuel Adams,Blackberry Witbier,Star-K*,,1
Beer,Samuel Adams,Blueberry Hill Lager,Star-K*,,1
Beer,Samuel Adams,Bonfire Rauchbier,Star-K*,,1
Beer,Samuel Adams,Boston Ale,Star-K*,,1
Beer,Samuel Adams,Boston Lager,Star-K*,,1
Beer,Samuel Adams,Brown Ale,Star-K*,,1
Beer,Samuel Adams,Cherry Wheat,Star-K*,,1
Beer,Samuel Adams,Cinder Bock,Star-K*,,1
Beer,Samuel Adams,Clear Malt Base,Star-K*,,1
Beer,Samuel Adams,Coastal Wheat,Star-K*,,1
Beer,Samuel Adams,Cranberry Lambic,Star-K*,,1
Beer,Samuel Adams,Cream Stout,Star-K*,,1
Beer,Samuel Adams,Dark Depths,Star-K*,,1
Beer,Samuel Adams,Double Agent,Star-K*,,1
Beer,Samuel Adams,Double Bock,Star-K*,,1
Beer,Samuel Adams,Dunkle Weizen,Star-K*,,1
Beer,Samuel Adams,East-West Kolsch,Star-K*,,1
Beer,Samuel Adams,Hallertau Imperial Pilsner,Star-K*,,1
Beer,Samuel Adams,Harvest Pumpkin Ale,Star-K*,,1
Beer,Samuel Adams,Hazel Brown,Star-K*,,1
Beer,Samuel Adams,Hefeweizen,Star-K*,,1
Beer,Samuel Adams,Holiday Porter,Star-K*,,1
Beer,Samuel Adams,Honey Porter,Star-K*,,1
Beer,Samuel Adams,Imperial Pilsner,Star-K*,,1
Beer,Samuel Adams,Imperial Stout,Star-K*,,1
Beer,Samuel Adams,Imperial White Ale,Star-K*,,1
Beer,Samuel Adams,Irish Red Ale,Star-K*,,1
Beer,Samuel Adams,Latitude 48,Star-K*,,1
Beer,Samuel Adams,Little White Rye,Star-K*,,1
Beer,Samuel Adams,Mighty Oak Ale,Star-K*,,1
Beer,Samuel Adams,Noble Pils,Star-K*,,1
Beer,Samuel Adams,Norse Legend,Star-K*,,1
Beer,Samuel Adams,Octoberfest,Star-K*,,1
Beer,Samuel Adams,Old Fezziwig,Star-K*,,1
Beer,Samuel Adams,Pale Ale,Star-K*,,1
Beer,Samuel Adams,Porch Rocker,Star-K*,,1
Beer,Samuel Adams,Rustic Saison,Star-K*,,1
Beer,Samuel Adams,Spring Ale,Star-K*,,1
Beer,Samuel Adams,Summer Ale,Star-K*,,1
Beer,Samuel Adams,Tasman Red,Star-K*,,1
Beer,Samuel Adams,The Vixen,Star-K*,,1
Beer,Samuel Adams,Verloren,Star-K*,,1
Beer,Samuel Adams,Wee Heavy,Star-K*,,1
Beer,Samuel Adams,White Ale,Star-K*,,1
Beer,Samuel Adams,White Christmas,Star-K*,,1
Beer,Samuel Adams,White Lantern Ale,Star-K*,,1
Beer,Samuel Adams,Whitewater IPA,Star-K*,,1
Beer,Samuel Adams,Winter Lager,Star-K*,,1
Beer,Sapparo,Premium,,,1
Beer,Sapparo,Premium Light,,,1
Beer,Sapparo,Reserve,,,1
Beer,Saranac,4059 Porter,KCOR,,1
Beer,Saranac,Adirondack Lager,KCOR,,1
Beer,Saranac,Amber Wheat,KCOR,,1
Beer,Saranac,Belgian Ale,KCOR,,1
Beer,Saranac,Belgian Pale Ale,KCOR,,1
Beer,Saranac,Belgian White,KCOR,,1
Beer,Saranac,Black & Tan,KCOR,,1
Beer,Saranac,Black Bear Bock,KCOR,,1
Beer,Saranac,Black Cherry Soda,KCOR,,1
Beer,Saranac,Black Diamond Bock,KCOR,,1
Beer,Saranac,Black Forest,KCOR,,1
Beer,Saranac,Black Lager,KCOR,,1
Beer,Saranac,Bock,KCOR,,1
Beer,Saranac,Brown Ale,KCOR,,1
Beer,Saranac,Caramel Porter,KCOR,,1
Beer,Saranac,Chocolate Amber,KCOR,,1
Beer,Saranac,Diet Root Beer,KCOR,,1
Beer,Saranac,Dry Hop Lager,KCOR,,1
Beer,Saranac,Dunkel,KCOR,,1
Beer,Saranac,Extra Special Bitter,KCOR,,1
Beer,Saranac,Ginger Beer,KCOR,,1
Beer,Saranac,Golden Pilsner,KCOR,,1
Beer,Saranac,Harvest Ale,KCOR,,1
Beer,Saranac,Hefeweizen,KCOR,,1
Beer,Saranac,Helles,KCOR,,1
Beer,Saranac,Imperial Stout,KCOR,,1
Beer,Saranac,India Pale,KCOR,,1
Beer,Saranac,Irish Red Ale,KCOR,,1
Beer,Saranac,Irish Stout,KCOR,,1
Beer,Saranac,Kolsh,KCOR,,1
Beer,Saranac,Legacy IPA,KCOR,,1
Beer,Saranac,Lemonade,KCOR,,1
Beer,Saranac,Light,KCOR,,1
Beer,Saranac,Maple Porter,KCOR,,1
Beer,Saranac,Marzenbier,KCOR,,1
Beer,Saranac,Mocha Stout,KCOR,,1
Beer,Saranac,Mountain Ale,KCOR,,1
Beer,Saranac,Nut Brown Ale,KCOR,,1
Beer,Saranac,Oatmeal Stout,KCOR,,1
Beer,Saranac,Oktoberfest,KCOR,,1
Beer,Saranac,Orange Cream,KCOR,,1
Beer,Saranac,Pale Ale,KCOR,,1
Beer,Saranac,Pale Pale Ale,KCOR,,1
Beer,Saranac,Pomegranate Wheat,KCOR,,1
Beer,Saranac,Pumpkin Ale,KCOR,,1
Beer,Saranac,Rauchbier,KCOR,,1
Beer,Saranac,Red IPA,KCOR,,1
Beer,Saranac,Roggen Bock,KCOR,,1
Beer,Saranac,Root Beer,KCOR,,1
Beer,Saranac,Rye IPA,KCOR,,1
Beer,Saranac,Rye Pale Ale,KCOR,,1
Beer,Saranac,Rye Pilsner,KCOR,,1
Beer,Saranac,Scotch Ale,KCOR,,1
Beer,Saranac,Season's Best,KCOR,,1
Beer,Saranac,Session Ale,KCOR,,1
Beer,Saranac,Session IPA,KCOR,,1
Beer,Saranac,Shirley Temple,KCOR,,1
Beer,Saranac,Single Malt,KCOR,,1
Beer,Saranac,Sparkling Organics Acai Berry,KCOR,,1
Beer,Saranac,Sparkling Organics Mandarin Orange,KCOR,,1
Beer,Saranac,Sparkling Organics Pomegranate Berry,KCOR,,1
Beer,Saranac,Stout,KCOR,,1
Beer,Saranac,Summer Ale,KCOR,,1
Beer,Saranac,Summer Brew,KCOR,,1
Beer,Saranac,Traditional Lager,KCOR,,1
Beer,Saranac,White IPA,KCOR,,1
Beer,Saranac,Wild at Heart,KCOR,,1
Beer,Saranac,Wild Hop Pilsner,KCOR,,1
Beer,Saranac,Winter Lager,KCOR,,1
Beer,Saranac,Winter Wassail,KCOR,,1
Beer,Shiner Beers,Shiner 102 Double Wheat Ale,KCOR,,1
Beer,Shiner Beers,Shiner Birthday Beer,KCOR,,1
Beer,Shiner Beers,Shiner Blonde Light,KCOR,,1
Beer,Shiner Beers,Shiner Bock,KCOR,,1
Beer,Shiner Beers,Shiner Bohemian Black Lager,KCOR,,1
Beer,Shiner Beers,Shiner Brewers' Pride Series,KCOR,,1
Beer,Shiner Beers,Shiner Farmhouse Ale,KCOR,,1
Beer,Shiner Beers,Shiner Hefeweizen,KCOR,,1
Beer,Shiner Beers,Shiner Holiday Cheer,KCOR,,1
Beer,Shiner Beers,Shiner Kosmos Reserve,KCOR,,1
Beer,Shiner Beers,Shiner Oktoberfest,KCOR,,1
Beer,Shiner Beers,Shiner Pale Ale,KCOR,,1
Beer,Shiner Beers,Shiner Premium,KCOR,,1
Beer,Shiner Beers,Shiner Prickly Pear,KCOR,,1
Beer,Shiner Beers,Shiner Ruby Redbird,KCOR,,1
Beer,Shiner Beers,Shiner Wild Hare,KCOR,,1
Beer,Shock Top,Assorted Varieties,0,,1
Beer,Sierra Nevada Brewing Co.,Assorted Varieties,0,,1
Beer,Sixpoint Brewery,Assorted Varieties,0,,1
Beer,Spring House Brewing Company,Assorted Varieties,0,,1
Beer,Steel,Reserve High Gravity 3.2 Malt Liquor,OU,,1
Beer,Steel,Reserve High Gravity 6.0 Malt Liquor,OU,,1
Beer,Steel,Reserve High Gravity Malt Liquor,OU,,1
Beer,Steel,Reserve Triple Export 8.1% Malt Liquor,OU,,1
Beer,Steel,Six Malt Liquor,OU,,1
Beer,Stegmaier,Gold Metal Beer,OU*,,1
Beer,Stegmaier,High Dive,OU*,,1
Beer,Stegmaier,IPA India Pale Ale,OU*,,1
Beer,Stegmaier,Liebotschaner Cream Ale,OU*,,1
Beer,Stegmaier,Pale Ale,OU*,,1
Beer,Stegmaier,Porter,OU*,,1
Beer,Stegmaier,Pumpkin Ale,OU*,,1
Beer,Stegmaier,White Ale Belgian Style Wheat Ale,OU*,,1
Beer,Stewart's Brewing Co.,Assorted Varieties,0,,1
Beer,Uinta Brewing,Anglers Pale Ale,OU*,,1
Beer,Uinta Brewing,Anniversary Barley Wine,OU*,,1
Beer,Uinta Brewing,Baba Black Lager,OU*,,1
Beer,Uinta Brewing,Blue Sky Pilsner,OU*,,1
Beer,Uinta Brewing,Bristlecone Brown Ale,OU*,,1
Beer,Uinta Brewing,Cutthroat Pale Ale,OU*,,1
Beer,Uinta Brewing,Dubhe Imperial Black IPA,OU*,,1
Beer,Uinta Brewing,Gelande Amber Lager,OU*,,1
Beer,Uinta Brewing,Golden Spike Hefeweizen,OU*,,1
Beer,Uinta Brewing,Hazel Amber Wheat Ale,OU*,,1
Beer,Uinta Brewing,Hive Honey Stung Ale,OU*,,1
Beer,Uinta Brewing,HooDoo Kolsch Style Ale,OU*,,1
Beer,Uinta Brewing,Hop Notch IPA,OU*,,1
Beer,Uinta Brewing,King's Peak Porter,OU*,,1
Beer,Uinta Brewing,Monkshine Belgian Styyle Ale,OU*,,1
Beer,Uinta Brewing,Punk'n Harvest Ale,OU*,,1
Beer,Uinta Brewing,Skipping Stone Summer Lager,OU*,,1
Beer,Uinta Brewing,Solstice Kolsch Style Ale,OU*,,1
Beer,Uinta Brewing,Sum'r Organic,OU*,,1
Beer,Uinta Brewing,Trader Indian Pale Ale,OU*,,1
Beer,Uinta Brewing,Wyld Organic Extra Pale Ale,OU*,,1
Beer,Uinta Brewing,Yard Sale Winter Lager,OU*,,1
Beer,Upright Brewing,Assorted Varieties,0,,1
Beer,Utica Club,Light,KCOR,,1
Beer,Utica Club,Pilsner,KCOR,,1
Beer,Ventnor Brewery,Assorted Varieties,0,,1
Beer,Victoria,,OK*,,1
Beer,Victory Brewing,Assorted Varieties,0,,1
Beer,Winterfest,Ale,OU*,,1
Beer,Wynkoop Brewing Company,Assorted Varieties,0,,1
