Type,Brand,Product,Kosher,Misc,Src
Beer,Brooklyn Brewery,Brooklyn Winter Ale,KCOR,"Only products produced in Utica, NY, as printed on the label",1
Beer,Brooklyn Brewery,Post Road Pumpkin Ale,KCOR,"Only products produced in Utica, NY, as printed on the label",1
Beer,Bud Light,Chelada,0,,1
Beer,Bud Light,Lime,0,,1
Beer,Bud Light Lime,Cran-Brrr-Rita,0,,1
Beer,Bud Light Lime,Lime-A-Rita,0,,1
Beer,Bud Light Lime,Mang-O-Rita,0,,1
Beer,Bud Light Lime,Raz-Ber-Rita,0,,1
Beer,Bud Light Lime,Straw-Ber-Rita,0,,1
Beer,Budweiser,Chelada,0,,1
Beer,Cape Ann Brewing Company,Assorted Varieties,0,,1
Beer,Christian Moerlein,Dopplebock,OU*,,1
Beer,Christian Moerlein,Oktober Fest,OU*,,1
Beer,Coast Brewing Co.,Assorted Varieties,0,,1
Beer,Cobra,5%,KLBD*,,1
Beer,Cobra,King,KLBD*,,1
Beer,Cobra,Zebra,KLBD*,,1
Beer,Coopers,Best Extra Stout,Kosher Australia,,1
Beer,Coopers,Birell Brewed Soft Drink,Kosher Australia,,1
Beer,Coopers,Celebration Ale,Kosher Australia,,1
Beer,Coopers,Dark Ale,Kosher Australia,,1
Beer,Coopers,Extra Strong Vintage Ale,Kosher Australia,,1
Beer,Coopers,Mild Ale,Kosher Australia,,1
Beer,Coopers,Original Pale Ale,Kosher Australia,,1
Beer,Coopers,Pilsner 62,Kosher Australia,,1
Beer,Coopers,Premium Lager,Kosher Australia,,1
Beer,Coopers,Premium Light,Kosher Australia,,1
Beer,Coopers,Sparkling Ale,Kosher Australia,,1
Beer,Coopers,Special Old Stout,Kosher Australia,,1
Beer,Coors,Banquet Beer,OU*,,1
Beer,Coors,Edge,OU*,,1
Beer,Coors,Extra Gold Beer,OU*,,1
Beer,Coors,Light Beer,OU*,,1
Beer,Coors,Light Export Beer,OU*,,1
Beer,Coors,Light Export Beer-MCBC,OU*,,1
Beer,Coors,Non-Alcoholic Beer,OU*,,1
Beer,Coors,Original Beer,OU*,,1
Beer,Coronita,Cerveza,OK*,,1
